웹툰ID,제목,url,thumbnailurl,카피문구,성인여부,요일,시놉시스,키워드리스트,글작가,그림작가,원작가
2680,극락왕생,https://webtoon.kakao.com/content/극락왕생/2680,https://kr-a.kakaopagecdn.com/P/C/2680/c1/2x/e011c7c3-15eb-4b89-933f-dc62d6c2cde1.png,"되살아난 박자언은 지옥의 호법신과 
일상 속의 기묘한 사건을 해결한다.",False,토,"당산역 귀신 박자언 X 막무가내 지옥의 호법신 도명 윤회의 끝, 극락왕생을 위해 펼치는 퇴마 활극! “들려? 노래 불러. 체리필터의 [낭만 고양이]로…” 비 오는 날이면 합정에서 당산으로 넘어가는 2호선 지하철에 나타나는 ‘당산역 귀신’. 자신이 보이는 인간에게 다가가 ‘낭만 고양이’를 불러달라 애원한다. 

그저 짓궂은 귀신인지 원한을 품은 악귀인지 애매하지만 지옥의 호법신 도명은 그를 지옥에 끌고 가기 위해 무작정 인간도로 향한다. 도명에게 귀신이란 존재는 극락에 이르기까지의 윤회의 고통을 거부한 죄인일 뿐. 당산역 귀신을 끌고 가기 직전, 도명은 인간도의 귀신을 보살피는 관음보살에게 들키고 만다. 

관음은 악귀도 아닌 귀신을 함부로 지옥에 끌고 가려 했던 도명을 다그친다. 언제부턴가 자비의 마음을 잊고 자신의 옳음을 증명하려는 마음만 앞섰던 도명. 그런 도명에게 관음은 한 가지 특별한 임무를 내린다.","진중한, 유쾌한, 판타지 드라마, 환생물, FANTASY_DRAMA",고사리박사,고사리박사,
2682,콜사인,https://webtoon.kakao.com/content/콜사인/2682,https://kr-a.kakaopagecdn.com/P/C/2682/c1/2x/595e2335-fe73-4c4b-8444-dc3dc61aeb29.png,"우리가 사는 오늘은 어제 죽은
누군가가 갈망한 내일이다",False,토,"이기적인 세상에 이타적인 사람들이 있기도 하다.

“사람 목숨만큼 귀한 건 없다……. 아닙니까?”
“물론 그렇지. 그런데 한 사람을 구한다는 의미를 알아?”
“무슨 말씀이신지?”
태건이 고개를 갸웃거리자 이채용 팀장이 빙그레 웃었다. 
“한 사람을 구하면, 나아가 그 사람 가족을 구하는 거야.” 
“네?”
“그 사람이 죽었다면 가족들 그리고 지인들 미래는 어쩌겠니?”
 
그 몇 마디가 태건의 인생을 바꿨다.
우리가 사는 오늘은, 어제 죽은 누군가가 갈망한 내일이다.
 

목숨을 걸고 타인의 생명을 그리고 삶의 스토리를 이어갈 수 있게 한다면?
결코 돈으로도 살 수 없는 보람이다. 
콜사인!
살려달란 소리에 반사적으로 움직일 수 있는 원동력이다. ","압도되는, 역동적인, 드라마, 힐링물, DRAMA",조석호,임강혁,
2694,비선실세 레이디,https://webtoon.kakao.com/content/비선실세-레이디/2694,https://kr-a.kakaopagecdn.com/P/C/2694/c1/2x/95852ce6-a94b-4b94-9ee5-d5caee193c81.png,"여주인공 동생으로 빙의했다. 
이 구역 실세의 맛을 보여주지!",False,월,"역하렘 소설 속 여주인공의 하나뿐인 동생으로 빙의했다.
게다가 한 번 크케 앓다 깨어난 탓에, 여주인공이 유난히 애지중지한다.
그걸 이용해서 언니에게 상처만 준 갱생불가 쓰레기 원작 남주를 물리쳤더니…….

'리리, 안녕? 혹시 케이크 좋아하니?'
'리리는 언니를 닮아서 정말 예쁘구나. 쿠키 먹지 않을래? 언니한테는 멋진 오빠가 줬다고 꼭 말해주고.'
'이거 먹고 잠깐 저쪽으로 가 있지 않을래? 아저씨랑 언니랑 긴히 할 말이 있어서 그런데.'

어째서인지 다른 남주 후보들이 나에게 잘 보이지 못해 안달이다. 

***

""못 생긴 애랑은 같이 안 놀아.""

눈앞의 남자아이가 한껏 심통난 얼굴로 중얼거렸다.

어쭈. 그렇게 나온다 이거지?
이 구역 실세의 맛을 보여주지.
나는 언니의 옷자락을 슬며시 잡아 당기며 불퉁하게 뇌까렸다.

""나 쟤 싫어. 그러니까 쟤 데려온 오빠도 싫어.""

동시에 세드릭의 얼굴이 흡사 사망 선고를 들은 사람처럼 하얗게 질렸다.

#책빙의 #실세 뽀시래기 여주 #눈치 빠른 여주
#세계 제일 미인 자매 #자매가 차린 역하렘","귀여운, 따뜻한, 로맨스 판타지, 빙의물, ROMANCE_FANTASY",멍이,청해,예훤
2701,재앙급 영웅님이 귀환하셨다,https://webtoon.kakao.com/content/재앙급-영웅님이-귀환하셨다/2701,https://kr-a.kakaopagecdn.com/P/C/2701/c1/2x/305944a1-f0cb-4715-8ece-6753f89727d5.png,"배신당한 영웅, 돌아오다! 
“다 뒤졌어, X발!”",False,목,"지상에 최강의 영웅이 있었다.

“하지만 죽었잖아. 우리가 죽인 놈이 어떻게 돌아와?”
“그러게. 돌아올 수 있으면 한번 돌아와 보라지.”

그런데 20년 만에 진짜 돌아와 버렸다?

“뭘 그리 놀래? 왜. 양심에 찔릴 짓이라도 하셨나?”

이 XX들. 가만 안 둔다.","압도되는, 통쾌한, 학원/판타지, 복수물, SCHOOL_ACTION_FANTASY",HEATS(REDICE STUDIO),이범근,산지직송
2706,무림세가 전생랭커,https://webtoon.kakao.com/content/무림세가-전생랭커/2706,https://kr-a.kakaopagecdn.com/P/C/2706/c1/2x/6d6a5140-c85a-4299-854f-5e4ac570b6ee.png,"전생에 사령술 랭커였던 나. 
이제 강호의 운명을 뒤흔들겠어!",False,수,"SSS급 랭커 강태하는 치열한 싸움 끝에 결국 죽음을 맞이했다.
 그런데 이 돼지가 나라고? 눈을 떠 보니 무림? 강태하는 백운표국의 망나니, 유신운의 몸에 들어가게 되었다.
정신 차릴 틈도 없이 혼란한 상황 속, 
들이닥치는 죽음의 위기 속에 전생의 사령술, 현생의 무공,두 가지를 손에 쥔 그가 이제 강호의 운명을 뒤흔든다.","역동적인, 통쾌한, 액션/무협, 레벨업물, ACTION_WUXIA",BaStards,인용,산보
2708,신과 함께 레벨업,https://webtoon.kakao.com/content/신과-함께-레벨업/2708,https://kr-a.kakaopagecdn.com/P/C/2708/c1/2x/8b9e214b-ac45-4e75-8265-e3abe23cca4c.png,"이너는 아우터를 이길 수 없다.
그렇다면… 이기는 건 나야.",False,수,"이계의 신, 아우터 갓(Outer God).

하늘을 닫는 절망과 늪에 빠진 좌절, 탄생하지 못한 자, 어리석은 혼돈.
평범한 사람들은 그저 바라보는 것만으로 목숨을 잃어 버릴 그 존재들이 세상을 휘젓는 지금…
수 년간의 싸움 끝에, 최후의 생존자들이 낸 결론.

""이너(Inner)는 아우터(Outer)를 이길 수 없다.""

그 순간, 시간을 다루는 신격을 지닌 존재 크로노스는 자신을 희생시켜 시계태엽을 되돌린다.

""이길 수 없겠지. 지금은 말이야.""

""옛 세계선으로 돌아가라. 그리고 다시 시작해.""

모든 신들에게 지목을 받아 과거로 돌아간 최후의 1인.
가장 뒤늦게 탑을 올라, 가장 마지막까지 신들과 함께 싸운 인간, 김유원.

""이너(Inner)는 아우터(Outer)를 이길 수 없다. 그렇다면…""

""이기는 건 나야.""

그는 마지막 순간을 함께하던 동료들을 다시 모아,
아우터와의 싸움을 승리로 끝낼 수 있을까?","압도되는, 몰입되는, 액션/무협, 레벨업물, ACTION_WUXIA",오현,오현,흑아인
2727,뽑기로 강해진 SSS급 헌터,https://webtoon.kakao.com/content/뽑기로-강해진-SSS급-헌터/2727,https://kr-a.kakaopagecdn.com/P/C/2727/c1/2x/8645ed09-2d58-44af-abf5-0681971416af.png,"인생 최악의 날, 우주로부터 
뽑기 스킬을 선물 받는다.",False,월,"전 재산을 쏟아부어 헌터로 각성했는데…
전투형 스킬 하나 없는 소통, 인내, 게임 탤런트뿐이라고?
헌터 사무소 영업직 인생은 이제 그만 살고 싶다고...!

간절히 바라면 이루어지는가!
인생 최악의 날, 우주로부터 최강의 스킬을 얻었다!

클래스를 뒤집는 운빨 갓겜이 시작된다.","역동적인, 통쾌한, 액션/무협, 레이드물, ACTION_WUXIA",개작가,윤석준,삼편잡가
2728,내일의 으뜸 : 선재 업고 튀어,https://webtoon.kakao.com/content/내일의-으뜸/2728,https://kr-a.kakaopagecdn.com/P/C/2728/c1/2x/e748ba05-534d-4528-955c-fe0869661f0a.png,"최애 아이돌을 살리기 위해
고군분투하는 임솔의 눈물겨운 수난기",False,수,"대학 졸업을 앞두고 있는 평범한 취준생 임솔. 아이돌 그룹 ‘감자전’ 제5의 멤버 류선재의 덕후로서 텅장인 삶을 살고 있는데…

<속보> 아이돌 그룹 ‘감자전’의 멤버 류선재, 사망!

최애의 갑작스러운 죽음에 팩소주로 슬픔을 지우던 어느 날, 우연히 줍게 된 회중시계로 6년 전 과거로 타임리프 하게 되는데!

회색 바지에 흰 셔츠, 베이지색 니트 조끼.
사진으로만 봤던 고등학생 류선재가 지금 눈앞에 있다.

“류선재애애애, 진짜 존나게 사랑한다!!”

다시 살게 된 열여덟, 목표는 단 하나.
류선재를 살리는 것!

최애를 살리기 위해 고군분투하는 임솔의 수난기, <내일의 으뜸>","귀여운, 발랄한, 로맨스, 타임슬립, ROMANCE",둥둥,둥둥,김빵
2735,구경하는 들러리양,https://webtoon.kakao.com/content/구경하는-들러리양/2735,https://kr-a.kakaopagecdn.com/P/C/2735/c1/2x/60ebcac8-dad5-4188-abcc-7c057ce5fa0e.png,"소설 속에 빙의했는데,
여주인공 괴롭히다 털리는 조연?!",False,수,"깨어나보니 내가 가장 좋아하는 소설 속에 들어와 버렸다!
그런데 주인공도 악역도 아닌… 눈물 나는 분량의 ‘들러리’라고?

현실에 치여사는 스물 다섯 학원 강사 김혜정! 그런데 즐겨 읽던 소설 <야수의 꽃> 세계로 떨어져 소설 속 인물 ‘라테 엑트리’가 된다.

…그런데 기왕 들어오게 해 준거 소설 속 미남들과 썸 좀 타는 주인공이 되게 해주지.
여주인공을 괴롭히다 털릴 예정의 조연 라테 엑트리가 되어버리다니!
에휴~ 그러면 그렇지 내 팔자야.

그래, 기왕 이렇게 된 거 열심히 구경이나 하자!
어차피 소설 보는 재미로 살아왔던 인생! 소설이 눈앞에서 실현된다는데 어찌 마다하겠는가!
팝콘이나 먹으며 구경하지 뭐. 와작!

그런데 조연이었던 라테는 오히려 소설 속에서 자신의 존재감을 점점 내보이게 되는데…?
소설 속의 들러리양의 파란만장한 구경기가 시작된다!","발랄한, 웃기는, 로맨스 판타지, 빙의물, ROMANCE_FANTASY",윰윰,윰윰,엘리아냥
2736,화타가 된 외과의사,https://webtoon.kakao.com/content/화타가-된-외과의사/2736,https://kr-a.kakaopagecdn.com/P/C/2736/c1/2x/1d9fb712-14ca-4aa6-81b0-b3a13c2b6e72.png,"전설의 명의, 화타로 되살아난 
젊은 외과의사의 기상천외한 모험!",False,화,"정의로운 성격 때문에 전문의는커녕 목숨까지 잃은
일반외과 전공 3년차 한진수.
천사인가, 악마인가, 아님 알 수 없는 시스템인가.
평소 쌓은 선행 덕분에 부활의 기회를 얻게 된다.
산적 떼에게 죽은 몸으로 부활하게 된 한진수.
그런데 이 몸이 전설의 명의名醫 화타?!
전란이 끊임없는 영웅들의 시대, 혼란한 후한 말.
한진수, 그는 후한 말 명의名醫 화타로서 우뚝 서려 한다…….
<삼국지연의> 속 세상에 떨어진 젊은 외과의사가 펼치는 기상천외한 모험이 시작된다!","몰입되는, 감동적인, 액션/무협, 환생물, ACTION_WUXIA",샤이멜,최병익,박동신
2745,세이렌: 악당과 계약 가족이 되었다,https://webtoon.kakao.com/content/세이렌-악당과-계약-가족이-되었다/2745,https://kr-a.kakaopagecdn.com/P/C/2745/c1/2x/87ed2a40-a919-4e03-80c4-f464dbf616c8.png,"아리아는 계약 결혼을 제안했다.
자신을 지키고, 그를 지키기 위해서.",False,"수, 월","아리아는 계약 결혼을 제안했다.
그것도, 악마에게 영혼을 팔았다는 발렌타인의 대공자에게.
자신을 지키고, 그를 지키기 위해서.

[나와 결혼해.]

아리아는 단풍잎 같은 손으로 쪽지와 함께 혼인 서약서를 내밀었다.

[계약 결혼이니까 10년 뒤에 이혼…….]

그러자 어린 대공자는 쓰고 있던 쪽지를 빼앗아 쫙쫙 찢으며 말했다.

“그래서, 도장은 어디에 찍으면 되지?”

“크면 이혼해주겠다고 했잖아.”

어느새 훌쩍 자란 악마 대공이, 그녀의 머리카락 위에 경건하게 입을 맞추며 말했다.

“어른이 되었으니 어른의 계약을 해야지.”","압도되는, 환상적인, 로맨스 판타지, 회귀물, ROMANCE_FANTASY",생얌,포야,설이수
2746,시한부 엑스트라의 시간,https://webtoon.kakao.com/content/시한부-엑스트라의-시간/2746,https://kr-a.kakaopagecdn.com/P/C/2746/c1/2x/92ed04da-e205-4fdf-b314-c9c8520ceed5.png,"다른 사람들에게 가려진 삶을
살아온 시한부 카리나의 마지막 일기",False,일,"가문의 후계자도, 귀여움을 독차지하는 막내도 되지 못한 어중간한 둘째로, 평생 다른 사람들에게 가려진 삶을 살아온 카리나. 

그림을 그리는 것만이 유일한 취미인 그녀는 자신에게 남은 시간이 고작 1년 뿐이라는 사실을 알게 된다. 

그래서 교류도 없던 약혼자를 무작정 찾아갔다. 그가 원하던 파혼 서류를 품에 고이 간직한 채.

""단도직입적으로 말하자면, 여기서 1년간 지내고 싶어요.""
""......미쳤나, 영애?"" 
“대신 파혼해 드릴게요.”

하지만 그땐 미처 알지 못했다. 
평생 가지지 못했던 대가 없는 관심과 애정을 그에게 받게 될 줄은.
그래서 미련 없던 삶에 이토록 욕심이 생기게 될 줄은.","가슴 먹먹한, 슬픈, 로맨스 판타지, 힐링물, ROMANCE_FANTASY",KIMPEUL,KIMPEUL,자은향
2747,마른 가지의 라가,https://webtoon.kakao.com/content/마른-가지의-라가/2747,https://kr-a.kakaopagecdn.com/P/C/2747/c1/2x/03bdb9eb-382e-470b-99ce-cb13e4014fe0.png,"분명 살아서 다행이다라고 
생각하게 될 날이 올 거야.",False,화,"‘사는 게 재미 없다.’

그래서 죽기로 결심했다.
그런데 마지막을 눈 앞에 둔 순간,

‘그럼 우리가 재미있게 해줄게!’

눈 앞에 다섯명의 비나족들이 등장했다.
그들은 내가 죽으면 본인들도 죽는다며 살아달라 요구하는데
…영원한 삶을 살아야 한다고?

“내가 즐겁게 해줄게. 그러니까, 죽지 마.”
“맹약자가 되신다면 평생 돈지랄하며 살 수 있습니다.”
“자기, 말만 하렴. 뭐가 필요하니?”
“원하시는 걸 말하시면 됩니다.”
“이것들이 유난은… 난 그렇게 쉬운 남자 아니다.”

그냥 영구 수면 시켜주고 알아서 사시면 안될까요?

죽고 싶은 알케리스는 과연 행복해질 수 있을까?","감동적인, 따뜻한, 로맨스 판타지, 남장여자물, ROMANCE_FANTASY",인접,인접,뮤제
2752,재능 삼킨 마법사,https://webtoon.kakao.com/content/재능-삼킨-마법사/2752,https://kr-a.kakaopagecdn.com/P/C/2752/c1/2x/858277d7-debe-474f-880a-836972043d0a.png,"가문의 재건을 위해 반드시 강해진다.
엘릭의 마족 타투 수집 여행기!",False,수,"""어이, 메피. 여기 언령마법 풀이 좀 써주시죠?""

예상치 못한 사건으로 한 몸 살이를 하게 된
천재 마법사 엘릭 메르빙거와 원죄의 마왕 메피스토펠레스.

마법을 쓰지 못하는 체질이었던 엘릭은
마왕의 힘을 최대한 흡수해 마도 명문 메르빙거 가의 재건을 꿈꾸지만
메피스토는 엘릭의 몸을 지배하여 다시 고귀한 마왕으로 부활하고자 한다.

""좋게 좋게 가시죠?""
""하찮은 인간 따위에게... 굴복할 것 같으냐!!!""

뻔뻔한 인간 마법사와 하찮은 마왕의
'동상이몽 마족삼킴 어드벤처'!","몰입되는, 통쾌한, 학원/판타지, 레벨업물, SCHOOL_ACTION_FANTASY",수리,"DJ공룡, 스튜디오이너스",빵먹는다람쥐
2754,창천무신,https://webtoon.kakao.com/content/창천무신/2754,https://kr-a.kakaopagecdn.com/P/C/2754/c1/2x/742e578d-5d87-41f9-8bb3-3dcde35de229.png,"병약한 공자님의 구음절맥 극복기!
그의 복수는 이루어질 것인가?!",False,목,"""이 기생오라비처럼 생긴 놈은 뭐지?""

천하제일로 군림하던 최강의 무인! 나, 독패 하후영.
나를 상대할 자는 무림 어디에도 존재하지 않는다!
더는 지상에서 이룰 성취가 없자 허무와 공허가 나를 잠식했다.
무의 끝, 극의를 이루기 위해서는 신선이 될 수밖에!

""마침내 성공했다아아아!!!""
""멈춰라! 등선을 불허한다!""

살생의 업보로 신선들은 등선을 거부하고,
나는 그대로 추락하고 만다.

눈을 뜨자 60년 후의 미래.
내가 남궁세가 둘째 공자 남궁혁으로 환생했다고?
평생 쌓은 내공은 다 어디로 간 거야!
게다가 구음절맥이라니?
이 도자기 같은 몸으로 어떻게 살아!
날 이 꼴로 만든 신선 놈들, 반드시 복수한다!!!
이깟 걸로 좌절할 순 없지! 까짓 거 등선, 한 번 더 해보자고!

병약한 공자님의 구음절맥 극복기!
그의 복수는 이루어질 것인가?!","웃기는, 통쾌한, 액션/무협, 환생물, ACTION_WUXIA",엄진섭,공종철,담호
2762,시한부라서 흑막의 며느리가 되었는데,https://webtoon.kakao.com/content/시한부라서-흑막의-며느리가-되었는데/2762,https://kr-a.kakaopagecdn.com/P/C/2762/c1/2x/8dffda23-e88b-46f8-959a-d9d3d2f9b82b.png,"어린 며느리의 치명적인 귀여움이
어두운 공작가를 밝힌다",False,수,"왜 하필 이런 소설에 빙의한 거야?!

부모님은 거대한 빚만 남긴 채 사고로 돌아가시고
성인이 되면 병으로 죽을 운명인 가엾은 여자아이,
그게 나 '라리아'다.
이 소설의 흑막인 이카르드 공작이 견제 세력들의
눈을 속일 요량으로 나를 며느리로 들였으니
몰래 돈을 모은 후 기회를 봐서 도망가자!

병을 고칠 방법도 찾았고, 탈출 자금도 착착 모이는데…
남편, 왜 나한테 집착해?! 누구도 사랑하지 않는 냉혈한 아니었니?
그리고 아버님, 저는 버리는 패여야 하잖아요.
왜 갑자기 저를 살리려고 하세요?!

계략여주 라리아와 이카르드 부자의 가족애 넘치는 시월드,
<시한부라서 흑막의 며느리가 되었는데>","귀여운, 발랄한, 로맨스 판타지, 빙의물, ROMANCE_FANTASY",짜다,바삭,유나진
2769,남주를 주웠더니 남편이 생겨버렸다,https://webtoon.kakao.com/content/남주를-주웠더니-남편이-생겨버렸다/2769,https://kr-a.kakaopagecdn.com/P/C/2769/c1/2x/d13e7490-a5d4-4405-b8f0-4e1893cebd56.png,"남주를 주웠는데!
남편까지 생겨버렸다?!",False,월,"허영심에 가득 찬 웨르아젤 프로시에 

그것이 내 별명이었다.
정확히 말하자면 내가 빙의하기 전 웨르아젤의 별명.
웨르아젤 진 빚을 수습하기 위해 백방으로 돈을 구할 방법을 찾던 도중!
공작가에서 잃어버린 아이를 찾는다는 전단지를 발견했다.

사례금은 빚을 청산하고도 펑펑 쓸 수 있는 돈.
냉큼 원작 남주인 아이를 주워 공작 가에 데리고 왔는데…

“이 아이가 라펠리온이라는 걸 어떻게 확신합니까.”

공작이 나를 사기꾼으로 취급하는 것으로 모자라,

“한 달 동안 이 저택에서 함께 지내시죠.”

당장 사기가 아니라는 증명을 할 수 없으니
한 달 동안 같이 지내잔다.

그런데!

“결혼하죠.
 딱 1년 동안만 계약 결혼을 해주면 사례금의 10배를 얹어 주죠.”

이제는 나한테 결혼까지 하잰다.

“여보라고 부르면 될까요?”

일 년 동안만 결혼한다면 사례금의 열배를 준다는데 당연히 승낙해야지!
그렇게 시작된 일 년 동안의 계약 결혼.

그런데 왜 자꾸 눈빛이 낯뜨겁게 변하는 건데?
왜 자꾸 밤마다 찾아오는 건데?","발랄한, 따뜻한, 로맨스 판타지, 로맨틱코미디물, ROMANCE_FANTASY",마리씨,서촌,초암
2778,늑대 대공의 반려인간,https://webtoon.kakao.com/content/늑대-대공의-반려인간/2778,https://kr-a.kakaopagecdn.com/P/C/2778/c1/2x/16fc7773-5ac6-4b10-bdb2-5f162edcacf7.png,"늑대 대공 칼과 어쩌다 그의
반려동물이 된 아델의 로맨스판타지",False,목,"아픈 삼촌을 대신해 신입 사냥꾼이 된 아델!
실전 첫날! 인육을 먹는 ‘식인 늑대’ ‘칼’에게 납치된다!

아아니.. 그런데 이 식인 늑대 좀 이상하다?!
식인 늑대가 아닌 건가..?

그는 전설로만 내려오며 유일하게
마법을 쓸 수 있는 종족 ‘고대 늑대’였다!
게다가 그들의 황자님이라니?!!

그런데 제가 왜 늑대님의 반려동물(?)이 되어야 하는 거죠??!
저는 다만 인류애를 가진 인간으로서
당신에게 조금의 선의를 베푼 것뿐인데????!!

세계를 암흑으로 몰고 가는 ‘암흑 늑대’ 트리스탄에 맞서
세상을 구하려는 늑대 대공 칼과 어쩌다 그의 반려동물이 된
아델의 세상 심쿵 뽀짝 판타지 로맨스!

과연 그들은 세상을 구할 수 있을까?
그리고 아델은 칼의 반려동물(?) 신분에서 벗어 날 수 있을까?","설레는, 궁금하게 하는, 로맨스 판타지, 수인물, ROMANCE_FANTASY",이서현,이서현,
2782,호위무사,https://webtoon.kakao.com/content/호위무사/2782,https://kr-a.kakaopagecdn.com/P/C/2782/c1/2x/d39bb218-bc16-463e-8784-9da48a598971.png,"엇갈린 두 남녀의 
운명과 절대절명의 사랑",False,금,"강호 제일 용부의 권좌를 차지하기 위한 숨 가쁜 암투.
그 위에 엇갈린 두 남녀의 운명과 절대절명의 사랑.","역동적인, 압도되는, 액션/무협, 암투물, ACTION_WUXIA",w2s,근비,초우
2785,패왕의 별,https://webtoon.kakao.com/content/패왕의-별/2785,https://kr-a.kakaopagecdn.com/P/C/2785/c1/2x/8c64ad4a-17e1-4cc4-a1ef-2470893037b7.png,"기다리는 자는 결코 얻을 수 없다
쟁취하는 자가 패왕의 별이 될 것이다",False,월,"강렬하고 붉은 패왕의 별이 떴다!
그 별의 정기를 받고 태어난 아이는 자라나 패왕이 되고
천하(天下)를 지배하게 된다는 전설의 별!

미천한 자리에서 가장 높은 곳에 오르려는 자, 천류영!
“내 그릇의 크기는... 나도 몰라.”
“아직까지 그릇을 채울 만큼 담아본 적이 없거든.”

거침없는 전진으로 패왕을 소유하려는 자, 백운회! 
“어차피 내가 갈 곳은 무림밖에 없다.”
“기왕이면 패왕이 되어 보는 것도 나쁘지는 않겠군.”

아름다움과 강함을 지닌 독보적인 여고수, 독고설! 
“패왕성의 주인이 반드시 남자라는 법은 없지.”
“그러니 나도 가능성이 있어.”

의문어린 과거와 무공의 깊이를 알 수 없는 자, 풍운! 
“아무도 모른다.”
“내 몸 속에 감춰진 강력한 무공을.”

하나의 패왕(覇王)!
하나의 자리를 놓고 벌이는 치열한 야망과 사랑 
그리고 긴박하게 펼쳐지는 수많은 지략과 배신

과연 붉은 패왕성의 주인은 누가 될 것인가?
천하를 격동시키는 그들의 이야기가 
이제 시작된다.","압도되는, 긴장감 있는, 액션/무협, 성공성장물, ACTION_WUXIA",위드칸,위드칸,강호풍
2790,회귀의 전설,https://webtoon.kakao.com/content/회귀의-전설/2790,https://kr-a.kakaopagecdn.com/P/C/2790/c1/2x/12e5cb3e-36a8-44e1-858a-3eb08982a116.png,"절망의 끝자락에서 거머쥔 회귀 찬스,
장태산이 선보이는 거침없는 전설기!",False,목,"백수 신세로 전락한 증권맨 장태산.
교통사고로 목숨을 잃지만 목숨과 맞바꾼 선업 덕분에 고등학생으로 회귀하게 된다.

그런데, 수능 문제도 모자라 사시 공부 때 접했던 사법 시험, 증권맨으로 재직했을 당시 봐왔던 주식 시장 그래프까지 머릿속에 생생하게 그려진다…?!

지난번 생은 망했지만 회귀한 생은 오직 성공뿐이다!","통쾌한, 몰입되는, 판타지 드라마, 회귀물, FANTASY_DRAMA",송진우,송진우,김광수
2798,다정한 개새끼의 목을 비틀겠습니다,https://webtoon.kakao.com/content/다정한-개새끼의-목을-비틀겠습니다/2798,https://kr-a.kakaopagecdn.com/P/C/2798/c1/2x/b2043dbe-6b4c-4896-ab54-c3fce4e6deaf.png,"그녀는 미끼였고, 남자는 
아름다운 개새끼였다.",False,일,"사랑하는 남자를 위해 모든 것을 다 바쳤으나 끝내 비참하게 죽고 만 클로이 가넷슈.
어리석은 클로이는 너무 늦게 깨달았다.
그녀는 남자가 황제에게 던져 줄 미끼였고, 남자는 다정함을 가장한 아름다운 개새끼였다.

*

“숙부님이 좋아요.”

열일곱의 나는 그만큼 어리고 미숙해서, 갈수록 커져 가는 마음을 감추지 못했다.

“사랑하고 있어요, 오래전부터.”

느른하게 턱을 괴고서 내 몸을 훑어보는 눈길에 몸이 쭈뼛거렸지만 나는 용기를 내 그에게 한 발짝 다가갔다.

“사랑이라. 너도 벌써 그런 나이가 되었구나.”

그의 손끝이 내 얼굴을 쓸어내렸다.
예기치 못한 고백에도 그는 지나치게 여유롭고 능숙했다.

“나도 네가 좋아, 클로이. 사랑하고 있지.
장차 내게 아우님의 목을 가져다줄 너를, 내가 어떻게 어여뻐하지 않을 수 있을까.""

내가 사랑하고 있는 남자는 너무나 다정해서 더욱 잔인한 남자였다.

“황제의 아이를 낳아.”

*

다시 눈을 떴을 때 창백해진 얼굴로 날 내려다보는 그가 있었다.
나의 사랑을 짓밟고 나를 망가뜨린 남자였다.","분노유발, 가슴 먹먹한, 로맨스 판타지, 복수물, ROMANCE_FANTASY",Y230,Rose,꿀끼
2801,1레벨 플레이어,https://webtoon.kakao.com/content/1레벨-플레이어/2801,https://kr-a.kakaopagecdn.com/P/C/2801/c1/2x/a06a9ff0-01fd-4aef-a9ca-4ebbef538f36.png,"헌터계의 이단아, 
랭커를 박살내는 1레벨이 온다!",False,수,"'각성하셨습니다.'                                              

드디어 그렇게 바라던 기적이 일어났다. 이제 모든 일이 잘 풀릴 것만 같았다.                                                  

'아니, 근데 왜 레벨이 안 올라?'                                                                             

형편없는 스텟 수치에 노 스킬이라니!                                  

저주캐에 절망하던 중 눈에 들어온 이상한 고유 스킬.                                                                  

-판매와 구매.                                                                

포인트를 버는 것만이 유일하게 살아남을 희망이다!","몰입되는, 긴장감 있는, 판타지 드라마, 레벨업물, FANTASY_DRAMA",방은우,"방은우, Gran",송치현
2807,무패의 랭커,https://webtoon.kakao.com/content/무패의-랭커/2807,https://kr-a.kakaopagecdn.com/P/C/2807/c1/2x/07dda41a-e6f4-4be9-ad7e-002279a30cdc.png,"내 가족을 해치는 자, 누구도
용서치 않으리라!",False,토,"32년 전 심판의 날.
갑작스럽게 나타난 몬스터들에 의해 인류는 멸종 직전까지 몰리게 된다.
하지만 독특한 능력을 사용하는 이능력자들이 각성하며 싸움은 새로운 국면을 맞이하고
치열한 전투 끝에 잃어버린 땅을 되찾는다.

살아남은 몬스터들은 전세계 곳곳에 던전을 형성하며 인간을 위협하고,
인류는 제2의 참극을 막기 위해 주식회사 '칸'에서 '로스트 시티'라는 
가상현실 게임을 개발해 헌터들을 육성하기 시작한다.

'로스트 시티'에서 무패의 기록을 가진 랭커 권진수.
그는 여동생 권수아를 위해 헌터가 되고, 고유 능력으로 나타난 애플과 함께 던전을 정복해 나간다.

그러다 마침내 오랫동안 찾아 헤매던 케네스를 만나 이 세계에 숨겨진 비밀들에 대해 듣게 되는데... ","압도되는, 긴장감 있는, 판타지 드라마, 레이드물, FANTASY_DRAMA",,홍덕화,메슬로우
